describe,evaluate,introduce,movie_name,serial_number,star
两张绝世的脸。 ,513724人评价,"
导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW...
1987 / 中国香港 / 爱情奇幻武侠古装
",倩女幽魂,117,8.7
诺兰就是保证。,509951人评价,"
导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...
2012 / 美国英国 / 剧情动作科幻犯罪惊悚
",蝙蝠侠：黑暗骑士崛起,118,8.8
没有一人完全善，也没有一人完全恶。,536192人评价,"
导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...
2010 / 日本 / 剧情惊悚
",告白,119,8.7
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,421192人评价,"
导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...
2003 / 美国 / 剧情家庭奇幻冒险
",大鱼,120,8.8
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,456694人评价,"
导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...
2011 / 韩国 / 剧情喜剧
",阳光姐妹淘,121,8.8
相逢只要一瞬间，等待却像是一辈子。,372201人评价,"
导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...
1996 / 中国香港 / 剧情爱情
",甜蜜蜜,122,8.8
百看不厌。 ,468560人评价,"
导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...
1993 / 中国香港 / 喜剧奇幻武侠古装
",射雕英雄传之东成西就,123,8.7
触不到的恋人。,351941人评价,"
导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...
2011 / 日本 / 剧情爱情动画奇幻
",萤火之森,124,8.9
和谐的生活离不开摸头与被摸头。,545059人评价,"
导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...
2010 / 美国 / 动画奇幻冒险
",驯龙高手,125,8.7
我的平常生活就是他人的幸福。,193133人评价,"
导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱...
2004 / 日本 / 剧情
",无人知晓,126,9.1
Balalala~~~,705459人评价,"
导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特...
2014 / 美国 / 喜剧动作科幻动画冒险
",超能陆战队,127,8.7
